date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:40:50	13552/13552	---M-Z	200	added ('OK')	text/html	etag:%2234f0-5fb6763bb9c0b-gzip%22	https://themesbrand.com/steex/layouts/auth-signin.html	C:/ShortLink/9/themesbrand.com/steex/layouts/auth-signin.html	(from )
08:40:51	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5afe3c4199080%22	https://themesbrand.com/robots.txt		(from )
08:40:52	111460/111460	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221b364-5fb3fb227a247%22	https://themesbrand.com/steex/layouts/assets/images/favicon.ico	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/images/favicon.ico	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:52	1131/1131	---M-Z	200	added ('OK')	application/javascript	etag:%2246b-5fb3fb2291947-gzip%22	https://themesbrand.com/steex/layouts/assets/js/layout.js	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/js/layout.js	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:52	285407/285407	---M-Z	200	added ('OK')	text/css	etag:%2245adf-6005e6bbb969f-gzip%22	https://themesbrand.com/steex/layouts/assets/css/bootstrap.min.css	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/css/bootstrap.min.css	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:53	784044/784044	---MCZ	200	added ('OK')	text/css	etag:%22bf6ac-6005e6bbba63f-gzip%22	https://themesbrand.com/steex/layouts/assets/css/icons.min.css	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/css/icons.min.css	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:53	298748/298748	---M-Z	200	added ('OK')	text/css	etag:%2248efc-6005e6bbb775f-gzip%22	https://themesbrand.com/steex/layouts/assets/css/app.min.css	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/css/app.min.css	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:53	44/44	---M--	200	added ('OK')	text/css	etag:%222c-6005e6bbb969f%22	https://themesbrand.com/steex/layouts/assets/css/custom.min.css	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/css/custom.min.css	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:54	48953/48953	---M--	200	added ('OK')	image/jpeg	etag:%22bf39-5fb3fb22909a7%22	https://themesbrand.com/steex/layouts/assets/images/users/avatar-1.jpg	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/images/users/avatar-1.jpg	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:54	7411/7411	---M--	200	added ('OK')	image/jpeg	etag:%221cf3-5fb3fb22909a7%22	https://themesbrand.com/steex/layouts/assets/images/users/avatar-2.jpg	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/images/users/avatar-2.jpg	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:54	11267/11267	---M--	200	added ('OK')	image/jpeg	etag:%222c03-5fb3fb22909a7%22	https://themesbrand.com/steex/layouts/assets/images/users/avatar-3.jpg	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:54	7650/7650	---M--	200	added ('OK')	image/jpeg	etag:%221de2-5fb3fb22909a7%22	https://themesbrand.com/steex/layouts/assets/images/users/avatar-4.jpg	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/images/users/avatar-4.jpg	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:55	53110/53110	---M--	200	added ('OK')	image/jpeg	etag:%22cf76-5fb3fb22909a7%22	https://themesbrand.com/steex/layouts/assets/images/users/avatar-5.jpg	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/images/users/avatar-5.jpg	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:55	9991/9991	---M-Z	200	added ('OK')	text/html	etag:%222707-5fb6763bb9c0b-gzip%22	https://themesbrand.com/steex/layouts/auth-pass-reset.html	C:/ShortLink/9/themesbrand.com/steex/layouts/auth-pass-reset.html	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:55	14058/14058	---M-Z	200	added ('OK')	text/html	etag:%2236ea-5fb6763bb9c0b-gzip%22	https://themesbrand.com/steex/layouts/auth-signup.html	C:/ShortLink/9/themesbrand.com/steex/layouts/auth-signup.html	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:55	80421/80421	---M-Z	200	added ('OK')	application/javascript	etag:%2213a25-6005e6bbd2cdf-gzip%22	https://themesbrand.com/steex/layouts/assets/libs/bootstrap/js/bootstrap.bundle.min.js	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/libs/bootstrap/js/bootstrap.bundle.min.js	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:56	27057/27057	---M-Z	200	added ('OK')	application/javascript	etag:%2269b1-6005e6bbda9df-gzip%22	https://themesbrand.com/steex/layouts/assets/libs/simplebar/simplebar.min.js	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/libs/simplebar/simplebar.min.js	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:57	408/408	---M-Z	200	added ('OK')	application/javascript	etag:%22198-5fb3fb2294827-gzip%22	https://themesbrand.com/steex/layouts/assets/js/plugins.js	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/js/plugins.js	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:57	296/296	---M-Z	200	added ('OK')	application/javascript	etag:%22128-5fb3fb2293887-gzip%22	https://themesbrand.com/steex/layouts/assets/js/pages/password-addon.init.js	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/js/pages/password-addon.init.js	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:57	140470/140470	---M-Z	200	added ('OK')	application/javascript	etag:%22224b6-6005e6bbdd8bf-gzip%22	https://themesbrand.com/steex/layouts/assets/libs/swiper/swiper-bundle.min.js	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/libs/swiper/swiper-bundle.min.js	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:40:58	2939/2939	---M-Z	200	added ('OK')	application/javascript	etag:%22b7b-5fb3fb2294827-gzip%22	https://themesbrand.com/steex/layouts/assets/js/pages/swiper.init.js	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/js/pages/swiper.init.js	(from https://themesbrand.com/steex/layouts/auth-signin.html)
08:41:04	1148064/1148064	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221184a0-5fb3fb22698a7%22	https://themesbrand.com/steex/layouts/assets/fonts/materialdesignicons-webfont.eot?v=6.5.95	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/fonts/materialdesignicons-webfont1d2d.eot	(from https://themesbrand.com/steex/layouts/assets/css/icons.min.css)
08:41:07	1148064/1148064	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221184a0-5fb3fb22698a7%22	https://themesbrand.com/steex/layouts/assets/fonts/materialdesignicons-webfont.eot?	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/fonts/materialdesignicons-webfontd41d.eot	(from https://themesbrand.com/steex/layouts/assets/css/icons.min.css)
08:41:24	521080/521080	---M--	200	added ('OK')	application/font-woff	etag:%227f378-5fb3fb226c787%22	https://themesbrand.com/steex/layouts/assets/fonts/materialdesignicons-webfont.woff?v=6.5.95	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/fonts/materialdesignicons-webfont1d2d.woff	(from https://themesbrand.com/steex/layouts/assets/css/icons.min.css)
08:41:39	1147844/1147844	---M--	200	added ('OK')	application/font-sfnt	etag:%221183c4-5fb3fb226b7e7%22	https://themesbrand.com/steex/layouts/assets/fonts/materialdesignicons-webfont.ttf?v=6.5.95	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/fonts/materialdesignicons-webfont1d2d.ttf	(from https://themesbrand.com/steex/layouts/assets/css/icons.min.css)
08:41:39	389680/389680	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f230-5fb3fb2263ae7%22	https://themesbrand.com/steex/layouts/assets/fonts/boxicons.eot	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/fonts/boxicons.eot	(from https://themesbrand.com/steex/layouts/assets/css/icons.min.css)
08:41:39	114992/114992	---M--	200	added ('OK')	text/html	etag:%221c130-5fb3fb2267967%22	https://themesbrand.com/steex/layouts/assets/fonts/boxicons.woff2	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/fonts/boxicons.html	(from https://themesbrand.com/steex/layouts/assets/css/icons.min.css)
08:41:39	308768/308768	---M--	200	added ('OK')	application/font-woff	etag:%224b620-5fb3fb22669c7%22	https://themesbrand.com/steex/layouts/assets/fonts/boxicons.woff	C:/ShortLink/9/themesbrand.com/steex/layouts/assets/fonts/boxicons.woff	(from https://themesbrand.com/steex/layouts/assets/css/icons.min.css)
